Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Relationship Richness;Class Documentation Coverage;Property Documentation Coverage;Class Naming Consistency;Property Naming Consistency;Axiom Richness;Cardinality Restrictions;Properties with Domain;Properties with Range;Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
SEAS\FeatureOfInterestOntology-1.0.ttl;5;3;1;4;0.4444444444444444;0.6;0.75;1.0;1.0;3.888888888888889;1;3;3;0;1;0;0;0
SEAS\FlexibilityOntology-1.0.ttl;8;1;1;2;0.2;0.75;0.5;1.0;1.0;4.1;0;1;1;0;0;0;0;5
SEAS\ForecastingOntology-1.1.ttl;5;2;1;3;0.375;0.6;0.6666666666666666;1.0;1.0;5.125;0;2;2;0;0;0;6;0
SEAS\GenericPropertyOntology-1.0.ttl;44;20;1;21;0.3230769230769231;0.9545454545454546;0.9523809523809523;1.0;1.0;3.9384615384615387;0;12;20;0;20;0;38;0
SEAS\GreenKPIOntology-1.0.ttl;2;2;1;3;0.6;0.0;0.6666666666666666;1.0;1.0;4.0;0;0;0;0;2;0;0;0
SEAS\OfferingOntology-1.1.ttl;6;7;1;8;0.5714285714285714;0.6666666666666666;0.875;1.0;1.0;3.5714285714285716;0;5;7;0;2;0;2;1
SEAS\OperatingOntology-1.0.ttl;7;0;1;1;0.125;0.7142857142857143;0.0;1.0;1.0;3.125;0;0;0;0;0;0;0;0
SEAS\OptimizationOntology-1.1.ttl;5;2;1;3;0.375;0.6;0.6666666666666666;1.0;1.0;5.125;0;2;2;0;0;0;6;0
SEAS\PeriodicSignalOntology-1.0.ttl;6;1;1;2;0.25;0.6666666666666666;0.5;1.0;1.0;3.125;0;0;0;0;1;0;0;0
SEAS\PhotovoltaicOntology-1.0.ttl;11;0;1;1;0.08333333333333333;0.8181818181818182;0.0;1.0;1.0;7.166666666666667;0;0;0;0;0;0;15;5
SEAS\PlayerOntology-1.1.ttl;34;0;1;1;0.02857142857142857;0.9411764705882353;0.0;1.0;1.0;2.2857142857142856;0;0;0;0;0;0;0;0
SEAS\PricingOntology-1.0.ttl;22;10;1;11;0.3333333333333333;0.9090909090909091;0.9090909090909091;1.0;1.0;4.0;0;1;10;5;10;0;20;0
SEAS\seas-1.1.ttl;2;0;1;1;0.3333333333333333;0.0;0.0;1.0;1.0;8.0;0;0;0;0;0;0;0;0
SEAS\SmartMeterOntology-1.1.ttl;52;8;2;10;0.16129032258064516;0.9615384615384616;0.9;1.0;1.0;4.483870967741935;0;9;9;0;6;0;42;0
SEAS\StatisticsOntology-1.0.ttl;11;0;2;2;0.15384615384615385;0.8181818181818182;0.5;1.0;1.0;3.0;1;1;1;0;1;0;0;0
SEAS\StreetLightSystemOntology-1.0.ttl;33;6;1;7;0.175;0.9393939393939394;0.8571428571428571;1.0;1.0;4.475;1;4;6;1;2;0;27;3
SEAS\SystemOntology-1.1.ttl;7;9;1;10;0.5882352941176471;0.7142857142857143;0.9;1.0;1.0;4.588235294117647;1;9;9;5;2;2;2;0
SEAS\ThermodynamicSystemOntology-1.0.ttl;3;5;1;6;0.6666666666666666;0.3333333333333333;0.8333333333333334;1.0;1.0;3.888888888888889;0;5;5;0;3;0;0;0
SEAS\TimeOntology-1.0.ttl;11;8;3;11;0.5;0.8181818181818182;0.9090909090909091;1.0;1.0;2.6363636363636362;0;4;4;0;3;0;2;0
SEAS\TradingOntology-1.1.ttl;18;11;1;12;0.4;0.8888888888888888;0.9166666666666666;1.0;1.0;4.433333333333334;0;11;9;2;4;2;16;3
SEAS\ZoneLightingOntology-1.0.ttl;8;8;1;9;0.5294117647058824;0.75;0.8888888888888888;1.0;1.0;4.0;0;8;8;0;5;0;0;4
SEAS\ZoneOntology-1.0.ttl;14;9;1;10;0.4166666666666667;0.8571428571428571;0.9;1.0;1.0;3.5416666666666665;0;9;9;0;8;0;0;4
ThinkHome\ActorOntology.owl;60;15;6;21;0.25925925925925924;0.21666666666666667;0.38095238095238093;0.6333333333333333;1.0;3.691358024691358;0;16;12;2;5;0;35;2
ThinkHome\BuildingOntology.owl;880;232;207;439;0.332827899924185;0.15681818181818183;0.2460136674259681;0.26022727272727275;0.9954441913439636;5.300985595147839;1068;227;433;3;1;0;28;49
ThinkHome\EnergyResourceOntology.owl;710;76;44;120;0.14457831325301204;0.49014084507042255;0.5916666666666667;0.7450704225352113;0.9916666666666667;5.9879518072289155;227;69;59;28;5;1;606;82
ThinkHome\ProcessOntology.owl;240;30;10;40;0.14285714285714285;0.15416666666666667;0.675;0.6583333333333333;1.0;5.6535714285714285;11;29;19;4;3;0;244;67
ThinkHome\WeatherOntology.owl;223;21;16;37;0.1423076923076923;0.1031390134529148;0.3783783783783784;0.484304932735426;1.0;4.934615384615385;26;31;28;2;22;2;182;30
