Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Relationship Richness;Class Documentation Coverage;Property Documentation Coverage;Class Naming Consistency;Property Naming Consistency;Axiom Richness;Cardinality Restrictions;Properties with Domain;Properties with Range;Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
DABGEO\2-variant-domain layer\energystoragesystems\EnergyStorageSystems.owl;10;0;0;0;0.0;1.0;0.0;1.0;0.0;2.3;0;0;0;0;0;0;0;0
DABGEO\2-variant-domain layer\entertainmentequipment\EntertainmentEquipment.owl;9;0;0;0;0.0;0.8888888888888888;0.0;1.0;0.0;2.111111111111111;0;0;0;1;0;0;0;0
DABGEO\2-variant-domain layer\environmentalsensors\EnvironmentalSensors.owl;30;0;0;0;0.0;0.7;0.0;1.0;0.0;2.1;0;0;0;0;0;0;0;0
DABGEO\2-variant-domain layer\fieldofapplication\FieldOfApplication.owl;34;3;0;3;0.08108108108108109;0.9705882352941176;0.6666666666666666;1.0;1.0;2.135135135135135;0;1;1;0;0;0;1;0
DABGEO\2-variant-domain layer\generalusebrowngoods\GeneralUseBrownGoods.owl;18;0;0;0;0.0;0.9444444444444444;0.0;1.0;0.0;2.0;0;0;0;0;0;0;0;0
DABGEO\2-variant-domain layer\generationsystemsperformance\GenerationSystemsPerformance.owl;3;12;0;12;0.8;0.0;0.5833333333333334;0.6666666666666666;1.0;2.6666666666666665;0;5;5;0;0;0;1;2
DABGEO\2-variant-domain layer\individualuser\IndividualUser.owl;24;2;1;3;0.1111111111111111;0.5416666666666666;1.0;0.5833333333333334;1.0;3.814814814814815;0;2;2;0;0;0;11;0
DABGEO\2-variant-domain layer\infrastructurelocation\InfrastructureLocation.owl;5;2;11;13;0.7222222222222222;0.8;1.0;1.0;1.0;2.388888888888889;0;10;10;0;0;0;0;0
DABGEO\2-variant-domain layer\infrastructurepremise\InfrastructurePremise.owl;7;1;0;1;0.125;0.8571428571428571;1.0;1.0;1.0;2.25;0;1;1;0;0;0;0;0
DABGEO\2-variant-domain layer\refrigerationdevices\RefrigerationDevices.owl;9;0;0;0;0.0;1.0;0.0;1.0;0.0;2.3333333333333335;0;0;0;0;0;0;0;0
DABGEO\2-variant-domain layer\ventilationsystems\VentilationSystems.owl;13;0;0;0;0.0;1.0;0.0;1.0;0.0;2.076923076923077;0;0;0;0;0;0;0;0
DABGEO\2-variant-domain layer\weatherreport\WeatherReport.owl;131;15;8;23;0.14935064935064934;0.29770992366412213;0.5652173913043478;0.7480916030534351;1.0;3.448051948051948;6;9;11;2;6;2;90;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\airpollutants\AirPollutants.owl;26;5;0;5;0.16129032258064516;0.7307692307692307;0.0;0.8461538461538461;1.0;2.7419354838709675;2;1;1;0;0;0;7;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\buildingenergyperformanceindicators\BuildingEnergyPerformanceIndicators.owl;12;0;0;0;0.0;1.0;0.0;1.0;0.0;2.1666666666666665;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\buildingenergyperformancerequirements\BuildingEnergyPerformanceRequirements.owl;23;2;0;2;0.08;1.0;1.0;0.9565217391304348;1.0;2.12;0;1;1;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\buildingorientation\BuildingOrientation.owl;11;1;0;1;0.08333333333333333;1.0;1.0;0.5454545454545454;1.0;2.25;0;1;1;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\buildingtypology\BuildingTypology.owl;8;2;0;2;0.2;1.0;1.0;1.0;1.0;2.1;0;1;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\climatetype\ClimateType.owl;9;0;0;0;0.0;1.0;0.0;1.0;0.0;2.2222222222222223;0;0;0;0;0;0;0;0
