Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Class/Property Ratio;Subclass Relationships;Max Depth of Inheritance;Relationship Richness;Class Label Coverage;Class Comment Coverage;Property Label Coverage;Property Comment Coverage;Class Documentation Coverage;Property Documentation Coverage;Cardinality Restrictions;Properties with Domain;Properties with Range;Domain Coverage (%);Range Coverage (%);Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
SEAS\PeriodicSignalOntology-1.0.ttl;6;1;1;2;3.0;4;0;0.25;0.6666666666666666;0.6666666666666666;0.5;0.5;0.6666666666666666;0.5;0;0;0;0.0;0.0;0;1;0;0;0
SEAS\PhotovoltaicOntology-1.0.ttl;11;0;1;1;11.0;24;2;0.08333333333333333;0.8181818181818182;0.8181818181818182;0.0;0.0;0.8181818181818182;0.0;0;0;0;0.0;0.0;0;0;0;15;5
SEAS\PlayerOntology-1.1.ttl;34;0;1;1;34.0;33;3;0.02857142857142857;0.9411764705882353;0.9411764705882353;0.0;0.0;0.9411764705882353;0.0;0;0;0;0.0;0.0;0;0;0;0;0
SEAS\PricingOntology-1.0.ttl;22;10;1;11;2.0;30;3;0.3333333333333333;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091;0;1;10;0.09090909090909091;0.9090909090909091;5;10;0;20;0
SEAS\seas-1.1.ttl;2;0;1;1;2.0;0;0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0
SEAS\SmartMeterOntology-1.1.ttl;52;8;2;10;5.2;77;4;0.16129032258064516;0.9615384615384616;0.9615384615384616;0.9;0.8;0.9615384615384616;0.9;0;9;9;0.9;0.9;0;6;0;42;0
SEAS\StatisticsOntology-1.0.ttl;11;0;2;2;5.5;10;2;0.15384615384615385;0.8181818181818182;0.8181818181818182;0.5;0.5;0.8181818181818182;0.5;1;1;1;0.5;0.5;0;1;0;0;0
SEAS\StreetLightSystemOntology-1.0.ttl;33;6;1;7;4.714285714285714;51;5;0.175;0.9393939393939394;0.9393939393939394;0.7142857142857143;0.8571428571428571;0.9393939393939394;0.8571428571428571;1;4;6;0.5714285714285714;0.8571428571428571;1;2;0;27;3
SEAS\SystemOntology-1.1.ttl;7;9;1;10;0.7;10;2;0.5882352941176471;0.7142857142857143;0.7142857142857143;0.9;0.9;0.7142857142857143;0.9;1;9;9;0.9;0.9;5;2;2;2;0
SEAS\ThermodynamicSystemOntology-1.0.ttl;3;5;1;6;0.5;1;0;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.8333333333333334;0.8333333333333334;0.3333333333333333;0.8333333333333334;0;5;5;0.8333333333333334;0.8333333333333334;0;3;0;0;0
SEAS\TimeOntology-1.0.ttl;11;8;3;11;1.0;10;2;0.5;0.8181818181818182;0.8181818181818182;0.9090909090909091;0.9090909090909091;0.8181818181818182;0.9090909090909091;0;4;4;0.36363636363636365;0.36363636363636365;0;3;0;2;0
SEAS\TradingOntology-1.1.ttl;18;11;1;12;1.5;32;3;0.4;0.8888888888888888;0.8888888888888888;0.9166666666666666;0.9166666666666666;0.8888888888888888;0.9166666666666666;0;11;9;0.9166666666666666;0.75;2;4;2;16;3
SEAS\ZoneLightingOntology-1.0.ttl;8;8;1;9;0.8888888888888888;11;2;0.5294117647058824;0.75;0.75;0.8888888888888888;0.8888888888888888;0.75;0.8888888888888888;0;8;8;0.8888888888888888;0.8888888888888888;0;5;0;0;4
SEAS\ZoneOntology-1.0.ttl;14;9;1;10;1.4;16;0;0.4166666666666667;0.8571428571428571;0.8571428571428571;0.9;0.9;0.8571428571428571;0.9;0;9;9;0.9;0.9;0;8;0;0;4
ThinkHome\ActorOntology.owl;60;15;6;21;2.857142857142857;37;3;0.25925925925925924;0.0;0.21666666666666667;0.0;0.38095238095238093;0.21666666666666667;0.38095238095238093;0;16;12;0.7619047619047619;0.5714285714285714;2;5;0;35;2
ThinkHome\BuildingOntology.owl;880;232;207;439;2.0045558086560367;524;2;0.332827899924185;0.0;0.15681818181818183;0.0;0.2460136674259681;0.15681818181818183;0.2460136674259681;1068;227;433;0.5170842824601367;0.9863325740318907;3;1;0;28;49
ThinkHome\EnergyResourceOntology.owl;710;76;44;120;5.916666666666667;1307;7;0.14457831325301204;0.4647887323943662;0.43661971830985913;0.55;0.5166666666666667;0.49014084507042255;0.5916666666666667;227;69;59;0.575;0.49166666666666664;28;5;1;606;82
ThinkHome\ProcessOntology.owl;240;30;10;40;6.0;335;4;0.14285714285714285;0.0;0.15416666666666667;0.0;0.675;0.15416666666666667;0.675;11;29;19;0.725;0.475;4;3;0;244;67
ThinkHome\WeatherOntology.owl;223;21;16;37;6.027027027027027;45;3;0.1423076923076923;0.008968609865470852;0.1031390134529148;0.08108108108108109;0.3783783783783784;0.1031390134529148;0.3783783783783784;26;31;28;0.8378378378378378;0.7567567567567568;2;22;2;182;30
